Timestamp,User Count,Type,Name,Requests/s,Failures/s,25%,50%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1633690031,10,GET,login,2.000000,0.000000,340,350,360,360,370,370,370,370,370,370,370,6,0,350.0,352.9765666666667,341.75230000000045,369.6183000000004,13.0
1633690031,10,,Aggregated,30.333333,0.000000,59,110,200,230,280,1400,1500,1500,1600,1600,1600,193,0,110.0,198.205383419689,6.869100000000294,1592.6657,3058.0880829015546
1633690032,10,POST,add_item_to_cart,0.000000,0.000000,190,190,340,340,340,340,340,340,340,340,340,3,0,190.0,238.78863333333348,189.5648000000003,336.5229000000003,0.0
1633690032,10,GET,get_address,0.000000,0.000000,100,110,160,160,160,160,160,160,160,160,160,3,0,110.0,123.44953333333326,103.0951,156.67149999999987,283.0
1633690032,10,GET,get_basket,0.000000,0.000000,39,43,50,50,50,50,50,50,50,50,50,3,0,43,44.17699999999976,39.29059999999929,50.17359999999993,23020.0
1633690032,10,GET,get_card,0.000000,0.000000,60,88,160,160,160,160,160,160,160,160,160,3,0,88,102.56396666666667,60.47099999999972,159.27480000000037,17.0
1633690032,10,GET,get_cart,8.500000,0.000000,130,160,230,240,1400,1500,1500,1600,1600,1600,1600,58,0,160.0,377.1766948275862,47.77710000000024,1592.6657,19.224137931034484
1633690032,10,GET,get_catalogue1,5.750000,0.000000,110,130,270,270,270,280,350,350,350,350,350,34,0,120.0,167.23553235294116,21.119200000000227,349.2855000000001,1643.0
1633690032,10,GET,get_catalogue2,1.750000,0.000000,110,120,230,230,230,230,230,230,230,230,230,11,0,120.0,156.2877363636365,106.69169999999983,232.6195000000002,22.0
1633690032,10,GET,get_catalogue3,1.750000,0.000000,54,89,99,99,130,130,130,130,130,130,130,11,0,89,83.83977272727269,43.68349999999932,132.34149999999988,1927.0
1633690032,10,GET,get_category,1.750000,0.000000,26,47,55,55,55,56,56,56,56,56,56,11,0,47,43.12380909090908,24.644299999999397,56.292900000000756,11518.0
1633690032,10,GET,get_customer,3.000000,0.000000,68,110,140,140,150,230,230,230,230,230,230,24,0,100.0,109.7458583333334,18.515999999999977,226.49929999999952,234.5
1633690032,10,GET,get_customer_orders,0.750000,0.000000,49,53,61,61,61,61,61,61,61,61,61,3,0,53,54.134499999999974,48.55810000000016,61.11099999999947,6368.0
1633690032,10,GET,get_detail,1.250000,0.000000,19,33,77,89,89,90,90,90,90,90,90,13,0,33,44.64062307692314,6.869100000000294,89.52980000000022,10364.0
1633690032,10,GET,get_index,5.750000,0.000000,48,52,59,59,88,100,110,110,110,110,110,31,0,52,55.444290322580606,26.414500000000007,108.6453999999999,8688.0
1633690032,10,GET,get_item,1.250000,0.000000,92,110,140,150,180,210,210,210,210,210,210,19,0,110.0,115.62814736842101,14.063000000000159,212.9588999999994,286.0
1633690032,10,GET,get_related,0.750000,0.000000,53,100,240,250,330,330,330,330,330,330,330,10,0,99,142.27725000000007,12.574299999999816,327.04060000000015,760.0
1633690032,10,GET,get_tags,1.750000,0.000000,140,150,170,170,170,170,170,170,170,170,170,11,0,150.0,147.4630999999999,68.7072999999998,173.8748000000001,107.0
1633690032,10,GET,login,1.500000,0.000000,340,350,360,360,370,370,370,370,370,370,370,6,0,350.0,352.9765666666667,341.75230000000045,369.6183000000004,13.0
1633690032,10,,Aggregated,35.500000,0.000000,59,110,170,200,270,350,1400,1500,1600,1600,1600,254,0,110.0,175.82686732283443,6.869100000000294,1592.6657,2827.3818897637793
1633690033,10,POST,add_item_to_cart,0.000000,0.000000,190,190,340,340,340,340,340,340,340,340,340,3,0,190.0,238.78863333333348,189.5648000000003,336.5229000000003,0.0
1633690033,10,GET,get_address,0.000000,0.000000,100,110,160,160,160,160,160,160,160,160,160,3,0,110.0,123.44953333333326,103.0951,156.67149999999987,283.0
1633690033,10,GET,get_basket,0.000000,0.000000,39,43,50,50,50,50,50,50,50,50,50,3,0,43,44.17699999999976,39.29059999999929,50.17359999999993,23020.0
1633690033,10,GET,get_card,0.000000,0.000000,60,88,160,160,160,160,160,160,160,160,160,3,0,88,102.56396666666667,60.47099999999972,159.27480000000037,17.0
1633690033,10,GET,get_cart,8.500000,0.000000,110,160,220,240,1400,1500,1500,1600,1600,1600,1600,62,0,150.0,356.8635306451613,44.6585000000006,1592.6657,18.112903225806452
1633690033,10,GET,get_catalogue1,5.750000,0.000000,110,130,270,270,270,280,350,350,350,350,350,34,0,120.0,167.23553235294116,21.119200000000227,349.2855000000001,1643.0
1633690033,10,GET,get_catalogue2,1.750000,0.000000,110,120,230,230,230,230,230,230,230,230,230,11,0,120.0,156.2877363636365,106.69169999999983,232.6195000000002,22.0
1633690033,10,GET,get_catalogue3,1.750000,0.000000,54,89,99,99,130,130,130,130,130,130,130,11,0,89,83.83977272727269,43.68349999999932,132.34149999999988,1927.0
1633690033,10,GET,get_category,1.750000,0.000000,26,47,55,55,55,56,56,56,56,56,56,11,0,47,43.12380909090908,24.644299999999397,56.292900000000756,11518.0
1633690033,10,GET,get_customer,3.000000,0.000000,68,100,140,140,150,230,230,230,230,230,230,28,0,89,106.36843571428577,18.515999999999977,226.49929999999952,212.85714285714286
1633690033,10,GET,get_customer_orders,0.750000,0.000000,49,53,61,61,61,61,61,61,61,61,61,3,0,53,54.134499999999974,48.55810000000016,61.11099999999947,6368.0
1633690033,10,GET,get_detail,1.250000,0.000000,14,33,77,89,89,90,90,90,90,90,90,14,0,20,42.42682857142865,6.869100000000294,89.52980000000022,10364.0
1633690033,10,GET,get_index,5.750000,0.000000,48,52,59,59,88,100,110,110,110,110,110,31,0,52,55.444290322580606,26.414500000000007,108.6453999999999,8688.0
1633690033,10,GET,get_item,1.250000,0.000000,93,130,140,150,180,210,210,210,210,210,210,20,0,110.0,116.37953499999995,14.063000000000159,212.9588999999994,286.0
1633690033,10,GET,get_related,0.750000,0.000000,39,69,240,240,250,330,330,330,330,330,330,14,0,69,111.38200714285712,10.003100000000487,327.04060000000015,760.0
1633690033,10,GET,get_tags,1.750000,0.000000,140,150,170,170,170,170,170,170,170,170,170,11,0,150.0,147.4630999999999,68.7072999999998,173.8748000000001,107.0
1633690033,10,GET,login,1.500000,0.000000,340,350,360,360,370,370,370,370,370,370,370,6,0,350.0,352.9765666666667,341.75230000000045,369.6183000000004,13.0
1633690033,10,,Aggregated,35.500000,0.000000,58,110,160,190,270,350,1400,1500,1600,1600,1600,268,0,110.0,169.90525932835794,6.869100000000294,1592.6657,2732.033582089552
1633690034,10,POST,add_item_to_cart,0.500000,0.000000,190,190,340,340,340,340,340,340,340,340,340,3,0,190.0,238.78863333333348,189.5648000000003,336.5229000000003,0.0
1633690034,10,GET,get_address,0.500000,0.000000,100,110,160,160,160,160,160,160,160,160,160,3,0,110.0,123.44953333333326,103.0951,156.67149999999987,283.0
1633690034,10,GET,get_basket,0.500000,0.000000,39,43,50,50,50,50,50,50,50,50,50,3,0,43,44.17699999999976,39.29059999999929,50.17359999999993,23020.0
